add_link,title,add_date,views,location,price,add_id,user_name,user_type,reported_1,reported_2,reported_3,deleted,java,python,c++,c,matlab,kotlin,javascript,sql,informatik
/s-anzeige/nachhilfe-fortran-pascal-c-online/2544597013-268-8980,Nachhilfe Fortran Pascal C Online,2023-09-13,,72250 Baden-Württemberg - Freudenstadt,VB,2544597013,Dudra,Gewerblicher Nutzer,False,False,False,False,False,False,False,True,False,False,False,False,False
/s-anzeige/mathe-nachhilfe-von-informatikstudent/2555084427-268-1982,Mathe Nachhilfe von Informatikstudent,2023-09-25,,47799 Nordrhein-Westfalen - Krefeld,25,2555084427,Mika,Privater Nutzer,False,False,False,False,False,False,False,True,False,False,False,False,True
/s-anzeige/nachhilfe-informatik-python-javascript-html-css-react-next/2548972822-268-3343,Nachhilfe Informatik Python Javascript HTML CSS React Next,2023-09-18,,10627 Berlin - Charlottenburg,15,2548972822,AM,Privater Nutzer,False,False,False,False,True,True,False,True,False,False,True,False,True
/s-anzeige/unterstuetzung-arduino-c-matlab-labview-in-saar-lor-lux-online/2544101480-268-361,Unterstützung Arduino C++ Matlab Labview in Saar-Lor-Lux + Online,2023-09-12,,66706 Saarland - Perl,VB,2544101480,4terra S.A.,Gewerblicher Nutzer,False,False,False,False,False,False,True,True,True,False,False,False,False
/s-anzeige/informatik-nachhilfe/2549293655-268-3115,Informatik Nachhilfe,2023-09-18,,26123 Niedersachsen - Oldenburg,15,2549293655,Heinz,Privater Nutzer,False,False,False,False,False,False,False,True,False,False,False,False,True
/s-anzeige/java-nachhilfe/2555030441-268-5664,Java-Nachhilfe,2023-09-25,,90522 Bayern - Oberasbach,25,2555030441,Ced,Privater Nutzer,False,False,False,False,True,False,False,True,False,False,False,False,False
/s-anzeige/online-nachhilfe-javascript/2550930912-268-9137,Online Nachhilfe JavaScript,2023-09-20,,74592 Baden-Württemberg - Kirchberg an der Jagst,20,2550930912,Stefan Zott,Gewerblicher Nutzer,False,False,False,False,True,False,False,True,False,False,True,False,False
/s-anzeige/informatik-nachhilfe-von-professionellem-tutor/2550302024-270-23683,INFORMATIK: Nachhilfe von professionellem Tutor,2023-09-20,,53111 Bonn - Bonn-Zentrum,25,2550302024,Patrick,Gewerblicher Nutzer,False,False,False,False,False,False,False,True,False,False,False,False,True
/s-anzeige/informatik-nachhilfe/2551060796-268-3460,Informatik Nachhilfe,2023-09-21,,13407 Berlin - Reinickendorf,25,2551060796,Schero,Privater Nutzer,False,False,False,False,False,False,False,True,False,False,False,False,True
/s-anzeige/biete-nachhilfe-in-mathe-informatik-und-wirtschaft/2554674345-268-24217,"Biete Nachhilfe in Mathe, Informatik und Wirtschaft",2023-09-24,,48147 Münster (Westfalen) - Wienburg,VB,2554674345,FH,Privater Nutzer,False,False,False,False,False,False,False,True,False,False,False,False,True
/s-anzeige/informatik-programmier-nachhilfe-fuer-anfaenger/2556183356-268-20176,Informatik / Programmier - Nachhilfe für Anfänger,2023-09-26,,44267 Dortmund - Holzen,20,2556183356,Niklas Marowski,Gewerblicher Nutzer,False,False,False,False,False,False,False,True,False,False,False,False,True
/s-anzeige/nachhilfe-mathe-informatik-und-java-c-c-python-haskell-prolog/2489403333-268-6350,"Nachhilfe Mathe,Informatik und Java,C/C++,Python,Haskell,Prolog",2023-09-23,,82194 Bayern - Gröbenzell,28,2489403333,,Gewerblicher Nutzer,False,False,False,False,True,True,True,True,False,False,False,False,True
/s-anzeige/informatik-nachhilfe-programmieren-java-c-sql-html-uvm-/2553934567-268-3353,"Informatik Nachhilfe // Programmieren, Java, C++, SQL, HTML, uvm.",2023-09-24,,10247 Friedrichshain-Kreuzberg - Friedrichshain,50,2553934567,Nachhilfe Pädagogisch Gelehrt,Gewerblicher Nutzer,False,False,False,False,True,False,True,True,False,False,False,True,True
/s-anzeige/nachhilfe-in-java-javascript-python-sql/2556111678-268-6264,"Nachhilfe in JAVA, JavaScript, Python, SQL",2023-09-26,,85356 Bayern - München-Flughafen,VB,2556111678,Patrick Kaufmann,Gewerblicher Nutzer,False,False,False,False,True,True,False,True,False,False,True,True,False
